filename,store,put,wrtmp,loadg,storeg,cas,sucessors,predecessors
gcc_coreutils8.31_O2_chown,2819,18959,30284,0,0,0,4757,4757
gcc_coreutils8.31_O3_users,2874,15613,20126,0,0,0,2682,2682
gcc_coreutils8.31_O1_tsort,1365,7281,12269,0,0,0,1879,1879
gcc_coreutils8.31_O1_nice,1116,6156,10512,0,0,0,1588,1588
gcc_coreutils8.31_O1_true,997,5372,9066,0,0,0,1332,1332
gcc_coreutils8.31_O0_sha1sum,2299,11549,25496,0,0,0,2561,2561
gcc_coreutils8.31_O0_sort,6368,35389,66281,0,0,0,8009,8009
gcc_coreutils8.31_O2_tr,1733,11413,17786,0,0,0,2714,2714
gcc_coreutils8.31_O0_pinky,1812,8693,14775,0,0,0,2092,2092
gcc_coreutils8.31_O2_chmod,2532,17298,28701,0,0,0,4302,4302
gcc_coreutils8.31_O0_cat,1770,8535,14601,0,0,0,2003,2003
gcc_coreutils8.31_O2_base64,1460,9363,14707,0,0,0,2083,2083
gcc_coreutils8.31_O2_stdbuf,1871,12579,20500,0,0,0,3046,3046
gcc_coreutils8.31_O3_split,3755,22715,30583,0,0,0,4664,4664
gcc_coreutils8.31_O3_env,3208,18441,25342,0,0,0,3567,3567
gcc_coreutils8.31_O1_du,6394,46299,86549,0,0,0,13610,13610
gcc_coreutils8.31_O0_sha384sum,2449,13856,28394,0,0,0,2629,2629
gcc_coreutils8.31_O0_cksum,1550,7473,12723,0,0,0,1687,1687
gcc_coreutils8.31_O0_echo,1434,7125,12272,0,0,0,1662,1662
gcc_coreutils8.31_O1_pinky,1349,7255,12077,0,0,0,1945,1945
gcc_coreutils8.31_O0_link,1444,7017,11908,0,0,0,1557,1557
gcc_coreutils8.31_O3_logname,2751,14948,19094,0,0,0,2486,2486
gcc_coreutils8.31_O0_hostid,1430,6897,11734,0,0,0,1527,1527
gcc_coreutils8.31_O2_sum,1570,10520,17850,0,0,0,2268,2268
gcc_coreutils8.31_O0_dircolors,1816,9157,15609,0,0,0,2122,2122
gcc_coreutils8.31_O1_nl,4078,28988,51458,0,0,0,8386,8386
gcc_coreutils8.31_O1_cksum,1125,6090,10272,0,0,0,1510,1510
gcc_coreutils8.31_O2_uptime,1843,12035,21058,0,0,0,2773,2773
